секция,населено место,гласове април,гласове юли,спад %,ГЕРБ-СДС април,ГЕРБ-СДС юли,ГЕРБ-СДС спад %,ДПС април,ДПС юли,ДПС спад %,БСП април,БСП юли,БСП спад %,ИТН април,ИТН юли,ИТН спад %,МУТРИ ВЪН! април,МУТРИ ВЪН! юли,МУТРИ ВЪН! спад %,ДБ април,ДБ юли,ДБ спад %
170100090,с.Боянци,170.0,60.0,64.70588235294117,18.0,7.0,61.111111111111114,0.0,1.0,,77.0,30.0,61.038961038961034,13.0,8.0,38.46153846153847,4.0,7.0,-75.0,1.0,0.0,100.0
Общо,,354.0,184.0,48.0225988700565,71.0,49.0,30.985915492957744,4.0,2.0,50.0,141.0,66.0,53.191489361702125,43.0,29.0,32.55813953488372,14.0,19.0,-35.714285714285715,2.0,6.0,-200.0
062100013,с.Лесура,342.0,178.0,47.953216374269005,226.0,53.0,76.54867256637168,0.0,1.0,,43.0,52.0,-20.930232558139537,14.0,40.0,-185.71428571428572,7.0,13.0,-85.71428571428571,0.0,7.0,
Общо,,342.0,178.0,47.953216374269005,226.0,53.0,76.54867256637168,0.0,1.0,,43.0,52.0,-20.930232558139537,14.0,40.0,-185.71428571428572,7.0,13.0,-85.71428571428571,0.0,7.0,
133900005,с.Медени поляни,330.0,222.0,32.72727272727273,80.0,32.0,60.0,233.0,178.0,23.605150214592275,4.0,3.0,25.0,5.0,4.0,20.0,1.0,0.0,100.0,0.0,0.0,
133900007,с.Медени поляни,95.0,,,0.0,,,95.0,,,0.0,,,0.0,,,0.0,,,0.0,,
Общо,,425.0,222.0,47.76470588235294,80.0,32.0,60.0,328.0,178.0,45.73170731707317,4.0,3.0,25.0,5.0,4.0,20.0,1.0,0.0,100.0,0.0,0.0,
111900018,с.Торос,367.0,178.0,51.49863760217984,218.0,94.0,56.88073394495413,48.0,7.0,85.41666666666666,33.0,21.0,36.36363636363637,38.0,35.0,7.894736842105263,8.0,5.0,37.5,4.0,4.0,0.0
111900019,с.Торос,364.0,204.0,43.956043956043956,201.0,84.0,58.2089552238806,39.0,18.0,53.84615384615385,39.0,25.0,35.8974358974359,59.0,60.0,-1.694915254237288,4.0,7.0,-75.0,6.0,5.0,16.666666666666664
Общо,,731.0,382.0,47.74281805745554,419.0,178.0,57.51789976133651,87.0,25.0,71.26436781609196,72.0,46.0,36.11111111111111,97.0,95.0,2.0618556701030926,12.0,12.0,0.0,10.0,9.0,10.0
011100030,с.Господинци,197.0,103.0,47.71573604060914,119.0,18.0,84.87394957983193,41.0,49.0,-19.51219512195122,18.0,17.0,5.555555555555555,12.0,13.0,-8.333333333333332,0.0,3.0,,0.0,1.0,
Общо,,197.0,103.0,47.71573604060914,119.0,18.0,84.87394957983193,41.0,49.0,-19.51219512195122,18.0,17.0,5.555555555555555,12.0,13.0,-8.333333333333332,0.0,3.0,,0.0,1.0,
113300005,с.Галата,638.0,354.0,44.5141065830721,269.0,49.0,81.78438661710037,303.0,230.0,24.09240924092409,12.0,26.0,-116.66666666666667,9.0,28.0,-211.11111111111111,3.0,2.0,33.33333333333333,9.0,13.0,-44.44444444444444
