id,ГЕРБ,БСП,ДПС,РЕФОРМАТОРСКИ БЛОК,ПФ (НФСБ-ВМРО),ББЦ,АТАКА,АБВ,Движение 21,Глас Народен,РЕПУБЛИКА БГ,ЗЕЛЕНИТЕ,Нова България,НОВА АЛТЕРНАТИВА,ОБЕДИНЕНА БЪЛГАРИЯ,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ,НДСВ,ПАРТИЯ НА ЗЕЛЕНИТЕ,ДЕСНИТЕ,ЛЕВИЦАТА И ЗЕЛЕНА ПАРТИЯ,НОВА СИЛА,БНС-НД,СОЦИАЛДЕМ. ПАРТИЯ,ОБЩЕСТВО ЗА НОВА БГ,НОВОТО ВРЕМЕ,независими,не подкрепям никого,невалидни,total_valid,total,eligible_voters,n_stations
2614,11,7,0,2,3,3,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0.0,0,0.0,0,3,34.0,37.0,60,1
2628,4,3,17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,26.0,26.0,27,1
2659,2402,677,36,569,246,111,232,169,57,69,22,34,16,21,11,15,3,12,7,13,9.0,8,11,6.0,2,0.0,0,338,4758.0,5096.0,9407,18
2662,45,9,1,12,13,0,4,4,0,2,0,0,0,0,1,1,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,92.0,92.0,112,1
2676,2188,659,44,372,337,258,112,212,48,26,5,13,18,3,10,14,6,8,2,9,7.0,11,8,12.0,6,28.0,0,370,4416.0,4786.0,7755,10
2693,477,137,12,50,203,122,10,18,3,3,15,1,6,11,6,6,2,0,1,4,1.0,4,1,1.0,1,4.0,0,62,1099.0,1161.0,2388,3
2703,23,20,0,6,17,5,6,0,1,0,1,0,1,1,0,2,0,0,0,0,1.0,1,0,0.0,0,1.0,0,14,86.0,100.0,171,1
2717,148,59,1,12,17,18,17,23,5,3,0,3,2,0,1,2,0,7,0,2,0.0,0,0,0.0,0,0.0,0,22,320.0,342.0,651,1
2720,417,309,17,81,162,144,58,40,38,24,0,7,3,6,7,3,6,2,0,3,10.0,3,1,0.0,6,0.0,0,134,1347.0,1481.0,3101,4
2734,82,24,250,2,15,4,14,8,0,1,0,0,2,0,0,1,0,0,0,0,0.0,1,0,2.0,0,0.0,0,18,406.0,424.0,1160,2
