municipality_name,ПП,ГЕРБ-СДС,ДПС,БСП,ИТН,ДБ,ВЪЗР,ИЗПРАВИ СЕ,не подкрепям никого,ВМРО,ЕВРОЛЕВИЦА,АТАКА,ОНБ,ГЛАС НАРОДЕН,невалидни,НОД,ПФ,ВОЛЯ,РВО,ПРАВОТО,БСДД,МИР,Партия на ЗЕЛЕНИТЕ,БНО,БОГ,БПЛ,ПД,БРИГАДА,БНС-НД,независими,eligible_voters,region,region_name,n_stations,total,activity,nuts4
Кайнарджа,80,609,303,158,70,21,20,13,6.0,4,13,4,4,6,28.0,25,7,18,4,8,5,0,4,10,2,1,2,2,0,0,4258.0,20,20. СИЛИСТРА,13,1427.0,0.33513386566463127,SLS15
Калояново,743,1004,204,464,324,76,176,63,47.0,26,36,23,20,17,18.0,17,10,10,8,13,18,8,5,4,4,2,3,2,2,0,9251.0,17,17. ПЛОВДИВ област,20,3347.0,0.3617987244622203,PDV12
Камено,538,786,147,405,320,77,158,84,69.0,26,27,19,16,10,38.0,21,24,12,3,12,23,8,6,1,3,3,1,2,1,4,9929.0,2,02. БУРГАС,21,2844.0,0.28643367912176454,BGS08
Каолиново,83,718,3866,108,103,39,30,15,28.0,10,11,14,11,20,0.0,27,12,15,3,9,19,0,3,2,3,1,0,1,3,0,17533.0,30,30. ШУМЕН,24,5154.0,0.2939599612159927,SHU18
Карлово,3698,3306,782,2557,1543,534,595,301,243.0,337,138,90,85,60,22.0,58,113,45,55,47,60,30,20,16,14,10,10,5,6,0,44350.0,17,17. ПЛОВДИВ област,78,14780.0,0.3332581736189402,PDV13
Карнобат,1402,1255,628,1205,688,212,279,380,77.0,46,57,39,43,31,64.0,35,36,21,19,22,26,15,9,6,7,6,2,3,3,6,21156.0,2,02. БУРГАС,62,6622.0,0.3130081300813008,BGS09
Каспичан,332,550,119,334,206,27,115,36,28.0,26,15,4,8,12,27.0,11,11,11,7,9,11,6,7,0,0,0,2,9,2,0,6783.0,30,30. ШУМЕН,17,1925.0,0.2837977296181631,SHU19
Кирково,422,1076,6301,356,329,165,63,38,60.0,17,29,11,31,38,52.0,40,17,10,13,19,19,8,1,8,10,0,1,7,1,0,35590.0,9,09. КЪРДЖАЛИ,80,9142.0,0.2568699072773251,KRZ14
Кнежа,830,1137,480,490,530,40,123,64,58.0,41,33,28,26,23,18.0,23,14,31,15,17,12,14,4,6,7,3,3,5,3,0,11365.0,15,15. ПЛЕВЕН,23,4078.0,0.35882094148702154,PVN39
Ковачевци,104,203,23,262,58,26,18,25,14.0,14,4,5,0,2,23.0,1,2,0,3,1,0,0,0,0,0,1,1,0,0,0,1176.0,14,14. ПЕРНИК,10,790.0,0.6717687074829932,PER22
