municipality_name,ГЕРБ-СДС,ПП/ДБ,ВЪЗР,ДПС,БСП,не подкрепям никого,ИТН,БВ,ЛЕВИЦАТА,невалидни,АТАКА (к.),ЗАЕДНО,НП ИСИ,КОД,НДСВ,ВЪН ОТ ЕС,ГЛАС НАРОДЕН,МИР,ЕВРОЛЕВИЦА,БСДД,БНО,БНС-НД,независими,СПБП,eligible_voters,region,region_name,n_stations,total,activity,nuts4
Омуртаг,1105,796,243,2164,1352,303.0,57,66,36,210,13,8,7,8,7,8,4,4,7,4,6,4,0.0,0,25032,28,28. ТЪРГОВИЩЕ,55,6412.0,0.25615212527964204,TGV22
Опака,215,117,86,1743,139,41.0,35,11,16,41,0,3,1,0,1,1,1,0,4,2,3,0,0.0,2,5706,28,28. ТЪРГОВИЩЕ,12,2462.0,0.43147563967753244,TGV23
Опан,281,147,113,105,271,13.0,29,25,29,26,9,3,6,0,2,4,0,0,1,2,0,1,0.0,0,2031,27,27. СТАРА ЗАГОРА,13,1067.0,0.5253569670113245,SZR23
Оряхово,902,426,379,462,455,99.0,102,121,48,57,9,4,12,2,5,12,5,2,7,2,3,0,0.0,4,8912,6,06. ВРАЦА,18,3118.0,0.3498653500897666,VRC31
Павел баня,710,463,534,2209,353,131.0,131,77,70,119,10,9,13,4,6,9,5,5,7,6,4,2,0.0,2,13566,27,27. СТАРА ЗАГОРА,23,4879.0,0.35964912280701755,SZR24
Павликени,1535,942,900,824,1259,269.0,205,156,133,168,38,9,16,12,14,16,8,8,8,11,16,6,0.0,1,19360,4,04. ВЕЛИКО ТЪРНОВО,42,6554.0,0.33853305785123966,VTR22
Пазарджик,8355,6553,4781,2811,3164,1390.0,1430,1036,595,654,276,50,109,69,68,84,59,51,34,31,28,23,0.0,9,98443,13,13. ПАЗАРДЖИК,150,31660.0,0.32160742764848693,PAZ19
Панагюрище,2289,1450,1118,117,941,274.0,362,174,126,111,30,13,34,7,7,16,14,15,12,7,2,2,0.0,2,20382,13,13. ПАЗАРДЖИК,27,7123.0,0.34947502698459426,PAZ20
Перник,10742,6130,4733,608,2398,1623.0,1450,1191,1199,473,134,112,92,312,68,94,58,34,47,34,29,27,0.0,19,77829,14,14. ПЕРНИК,139,31607.0,0.4061082629868044,PER32
Перущица,364,311,196,139,139,49.0,38,26,12,38,0,1,2,0,2,6,0,1,3,0,4,4,0.0,0,4107,17,17. ПЛОВДИВ област,6,1335.0,0.32505478451424397,PDV40
Петрич,7687,2979,1862,1058,1393,576.0,770,593,481,356,40,40,51,101,36,16,20,6,16,6,14,14,0.0,8,54268,1,01. БЛАГОЕВГРАД,90,18123.0,0.33395371121102674,BLG33
Пещера,1947,841,608,501,877,197.0,177,107,59,152,28,21,23,20,28,12,4,11,6,1,8,1,0.0,0,18322,13,13. ПАЗАРДЖИК,27,5629.0,0.3072262853400284,PAZ21
Пирдоп,742,507,376,195,206,138.0,118,97,34,41,7,7,7,3,3,8,6,6,5,1,1,0,0.0,0,6459,26,26. СОФИЯ област,14,2508.0,0.3882954017649791,SFO55
Плевен,10360,9415,6506,1756,4091,2515.0,3321,1343,1437,532,243,546,126,181,134,119,89,83,40,32,35,28,0.0,14,116144,15,15. ПЛЕВЕН,167,42946.0,0.36976511916241905,PVN24
Пловдив,30996,36072,18294,3728,9136,6071.0,5664,4809,2244,1622,585,466,470,434,357,412,356,191,123,120,152,108,0.0,49,301066,16,16. ПЛОВДИВ град,471,122459.0,0.40675134355921955,PDV22
Полски Тръмбеш,732,499,472,1012,786,100.0,128,64,57,121,17,6,14,11,9,2,5,3,2,2,1,4,0.0,1,11176,4,04. ВЕЛИКО ТЪРНОВО,22,4048.0,0.36220472440944884,VTR26
Поморие,2354,1543,1208,1477,583,335.0,332,472,146,200,28,15,41,17,20,25,6,13,9,7,14,4,0.0,6,23167,2,02. БУРГАС,52,8855.0,0.38222471619113396,BGS17
Попово,1513,1021,920,723,1740,262.0,342,138,170,133,36,16,28,8,9,12,7,9,12,6,8,4,0.0,3,24399,28,28. ТЪРГОВИЩЕ,53,7120.0,0.29181523832943973,TGV24
Пордим,556,190,186,135,217,61.0,63,30,80,38,9,10,3,2,0,0,1,1,5,1,0,0,0.0,1,4212,15,15. ПЛЕВЕН,10,1589.0,0.37725546058879394,PVN27
Правец,627,448,299,144,735,121.0,91,67,55,87,8,8,8,9,6,9,8,10,7,1,3,3,0.0,0,6117,26,26. СОФИЯ област,16,2754.0,0.45022069641981366,SFO34
Приморско,977,420,298,110,124,110.0,93,158,34,53,4,2,11,4,2,4,0,5,3,3,4,0,0.0,2,5258,2,02. БУРГАС,9,2421.0,0.4604412324077596,BGS27
Провадия,2152,914,871,1004,671,186.0,244,102,106,208,21,41,19,3,5,8,9,6,8,5,6,3,18.0,0,18989,3,03. ВАРНА,46,6610.0,0.34809626625941337,VAR24
Първомай,1596,1235,1175,732,947,266.0,199,282,99,101,27,55,21,8,21,17,13,8,11,4,6,4,0.0,3,22388,17,17. ПЛОВДИВ област,40,6830.0,0.30507414686439166,PDV23
Раднево,1157,1154,1127,202,718,266.0,344,124,96,93,27,13,23,3,12,39,11,8,8,5,3,6,0.0,5,15368,27,27. СТАРА ЗАГОРА,38,5444.0,0.35424258198854763,SZR27
Радомир,2169,1281,906,179,626,230.0,224,170,146,120,21,18,13,40,6,14,12,10,3,8,8,10,0.0,2,15631,14,14. ПЕРНИК,50,6216.0,0.39767129422301833,PER36
Разград,3112,4102,2016,2576,1397,600.0,433,311,203,237,62,40,20,17,23,24,21,12,13,13,11,10,0.0,9,50367,18,18. РАЗГРАД,71,15262.0,0.3030158635614589,RAZ26
Разлог,2260,2047,900,1156,857,304.0,406,370,142,140,23,51,49,8,16,8,6,8,7,3,7,5,0.0,2,17372,1,01. БЛАГОЕВГРАД,29,8775.0,0.5051231867372784,BLG37
Ракитово,795,358,393,1517,673,94.0,76,177,35,114,10,3,15,5,5,6,3,6,6,3,3,5,0.0,0,12781,13,13. ПАЗАРДЖИК,17,4302.0,0.3365933807996244,PAZ24
Раковски,2431,981,880,41,620,243.0,227,123,46,148,14,11,21,8,11,14,7,6,7,4,6,2,0.0,2,22119,17,17. ПЛОВДИВ област,34,5853.0,0.2646141326461413,PDV25
